operationId,operationDate,operationType,note,totalAmtAccepted,propositions
RP 081525 2,2025-08-15,Reverse Repo,,33757000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2330000000}, {'counterpartyType': 'mmf', 'amtAccepted': 31427000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 081425 2,2025-08-14,Reverse Repo,,28818000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2225000000}, {'counterpartyType': 'mmf', 'amtAccepted': 26593000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 081325 2,2025-08-13,Reverse Repo,,57202000000,"[{'counterpartyType': 'bank', 'amtAccepted': 5000000}, {'counterpartyType': 'gse', 'amtAccepted': 2800000000}, {'counterpartyType': 'mmf', 'amtAccepted': 54397000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 081225 2,2025-08-12,Reverse Repo,,57492000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3140000000}, {'counterpartyType': 'mmf', 'amtAccepted': 54352000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 081125 2,2025-08-11,Reverse Repo,,82214000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 3950000000}, {'counterpartyType': 'mmf', 'amtAccepted': 78263000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 080825 2,2025-08-08,Reverse Repo,,80303000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3450000000}, {'counterpartyType': 'mmf', 'amtAccepted': 76853000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 080725 2,2025-08-07,Reverse Repo,,77961000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3640000000}, {'counterpartyType': 'mmf', 'amtAccepted': 74320000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]"
RP 080625 2,2025-08-06,Reverse Repo,,91966000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 4190000000}, {'counterpartyType': 'mmf', 'amtAccepted': 87776000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 080525 2,2025-08-05,Reverse Repo,,84356000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3715000000}, {'counterpartyType': 'mmf', 'amtAccepted': 80641000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 080425 2,2025-08-04,Reverse Repo,,125730000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 3980000000}, {'counterpartyType': 'mmf', 'amtAccepted': 121749000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 080125 2,2025-08-01,Reverse Repo,,97426000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3190000000}, {'counterpartyType': 'mmf', 'amtAccepted': 94236000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 073125 2,2025-07-31,Reverse Repo,,214445000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 34335000000}, {'counterpartyType': 'mmf', 'amtAccepted': 180110000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 073025 2,2025-07-30,Reverse Repo,,155481000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 4425000000}, {'counterpartyType': 'mmf', 'amtAccepted': 151056000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 072925 2,2025-07-29,Reverse Repo,,171018000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 2825000000}, {'counterpartyType': 'mmf', 'amtAccepted': 168192000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 072825 2,2025-07-28,Reverse Repo,,170463000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 4255000000}, {'counterpartyType': 'mmf', 'amtAccepted': 165007000000}, {'counterpartyType': 'pd', 'amtAccepted': 1200000000}]"
RP 072525 2,2025-07-25,Reverse Repo,,150509000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 2550000000}, {'counterpartyType': 'mmf', 'amtAccepted': 147959000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 072425 2,2025-07-24,Reverse Repo,,132186000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3980000000}, {'counterpartyType': 'mmf', 'amtAccepted': 128206000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 072325 2,2025-07-23,Reverse Repo,,189632000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3350000000}, {'counterpartyType': 'mmf', 'amtAccepted': 186282000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 072225 2,2025-07-22,Reverse Repo,,196374000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 2650000000}, {'counterpartyType': 'mmf', 'amtAccepted': 193723000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
